decimal_digit,count,min,max,mean,median,mode,modeCounts,std,source_file
3,7604888,1.334,1.334,1.334,1.334,1.334,7604888,1.07e-14,summaryStats_ONLYAML2_cell11.csv
16,307530,1.331246176,1.384733489,1.347214233,1.349049124,1.333998592,6,0.010078631,summaryStats_ONLYAML2_cell11.csv
15,78899,1.331335976,1.384128773,1.347143563,1.349038596,1.333999229,6,0.01008584,summaryStats_ONLYAML2_cell11.csv
14,7782,1.332312861,1.383075894,1.347123593,1.34915108,1.334002254,4,0.010045313,summaryStats_ONLYAML2_cell11.csv
12,76,1.333564783,1.371043117,1.346246698,1.348512483,1.333999805,2,0.009908275,summaryStats_ONLYAML2_cell11.csv
13,809,1.332756583,1.37683984,1.346487026,1.347934939,1.333998898,3,0.009847976,summaryStats_ONLYAML2_cell11.csv
11,16,1.3330295,1.363005923,1.346823468,1.349479148,1.3330295,1,0.00892073,summaryStats_ONLYAML2_cell11.csv
3,7642024,1.334,1.334,1.33399999999999,1.334,1.334,7642024,1.021405182655144e-14,summaryStats_ONLYAML3_cell16.csv
16,278296,1.3311161422135425,1.3968166112149256,1.3516640882587625,1.3503076849353688,1.3339984299939258,6,0.015783720663152,summaryStats_ONLYAML3_cell16.csv
15,71841,1.331323131381963,1.396374034421165,1.3517117804092356,1.350398632188292,1.333998478457721,6,0.0157899865587298,summaryStats_ONLYAML3_cell16.csv
14,7087,1.33133262314447,1.39632363340584,1.3518949064039902,1.35037437821751,1.33399934285729,6,0.0160481034454418,summaryStats_ONLYAML3_cell16.csv
13,696,1.3323829631534,1.3960126419907,1.3513861861555188,1.3490455254495002,1.3339992248723,3,0.016101147926621,summaryStats_ONLYAML3_cell16.csv
12,47,1.333744228713,1.388910509782,1.3575417006084043,1.355804431288,1.333744228713,1,0.0159874666717625,summaryStats_ONLYAML3_cell16.csv
11,8,1.33373390383,1.37691593541,1.34732444517125,1.336719728645,1.33373390383,1,0.0176917316916702,summaryStats_ONLYAML3_cell16.csv
10,1,1.3674682878,1.3674682878,1.3674682878,1.3674682878,1.3674682878,1,0.0,summaryStats_ONLYAML3_cell16.csv
3,8002388,1.334,1.334,1.333999999999993,1.334,1.334,8002388,7.105427357601002e-15,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
16,91805,1.3373881947484867,1.4572317108710395,1.3774496912822285,1.3778481092892407,1.3373881947484867,1,0.0181546880720638,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
14,2398,1.33746475698537,1.45443872902899,1.377236302548199,1.37764460705155,1.33746475698537,1,0.0173861835025769,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
15,23758,1.337392341509675,1.457687633726775,1.3774024548118822,1.3777484281117487,1.337392341509675,1,0.018162430230701,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
12,24,1.343537318521,1.436219040058,1.377274453189875,1.37817934189,1.343537318521,1,0.019258563125909,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
13,224,1.3404714250709,1.4424525177622,1.3785873068494907,1.3789684133636,1.3404714250709,1,0.0177984608388033,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
11,4,1.34520955107,1.39701421688,1.368393095675,1.365674307375,1.34520955107,1,0.0229743804849882,summaryStats_ONLYTomogramma_BuddingYeastCell.csv
3,7991381,1.334,1.334,1.3339999999999927,1.334,1.334,7991381,7.327471962526033e-15,summaryStats_ONLYTomogramma_Cell1.csv
16,100481,1.3373918088948007,1.4558381428572458,1.3738073987511767,1.3737034957166367,1.3373918088948007,1,0.0166659425645618,summaryStats_ONLYTomogramma_Cell1.csv
15,25961,1.337426507747905,1.455938645664837,1.373697534190807,1.373693791960614,1.337426507747905,1,0.016798976185526,summaryStats_ONLYTomogramma_Cell1.csv
14,2478,1.33765070128309,1.45478768680349,1.3737138642006894,1.37390886536306,1.33765070128309,1,0.0162823673536857,summaryStats_ONLYTomogramma_Cell1.csv
13,273,1.3377806379936,1.4443913174967,1.3724414540348278,1.3704710710718,1.3377806379936,1,0.0182109371179048,summaryStats_ONLYTomogramma_Cell1.csv
12,25,1.347894032968,1.400254042297,1.3729582539764402,1.369950648494,1.347894032968,1,0.0161413818571826,summaryStats_ONLYTomogramma_Cell1.csv
11,2,1.35610308496,1.38869569295,1.372399388955,1.372399388955,1.35610308496,1,0.016296303995,summaryStats_ONLYTomogramma_Cell1.csv
3,8026327,1.334,1.334,1.3339999999999932,1.334,1.334,8026327,6.8833827526759706e-15,summaryStats_ONLYTomogramma_Cell2.csv
16,73366,1.3374001482275333,1.4541329102115372,1.3780370108137852,1.3797332709401662,1.3374001482275333,1,0.0168698570036682,summaryStats_ONLYTomogramma_Cell2.csv
15,18846,1.337409249230139,1.451901165878381,1.377858003187313,1.379659071758638,1.337409249230139,1,0.016800564546078,summaryStats_ONLYTomogramma_Cell2.csv
14,1864,1.33740645487028,1.45246372556469,1.3786918247539333,1.3797707142372402,1.33740645487028,1,0.017038853393058,summaryStats_ONLYTomogramma_Cell2.csv
12,26,1.343830508232,1.433795765419,1.3766719487532308,1.376589321442,1.343830508232,1,0.0218905328005301,summaryStats_ONLYTomogramma_Cell2.csv
13,167,1.3379212961223,1.4298265609606,1.3757502826112091,1.3766770290905,1.3379212961223,1,0.0187681891961419,summaryStats_ONLYTomogramma_Cell2.csv
11,3,1.36749293022,1.39603226945,1.38070473218,1.37858899687,1.36749293022,1,0.0117467931183433,summaryStats_ONLYTomogramma_Cell2.csv
